Log for:/home/jrethore/fic_enseignement/fic_CISM/HANDS-ON/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2022-10-02T18:50:57Z
#=#=#=#=# Propagation starts 2022-10-02T18:50:57Z (last step: 191 msec , total: 191 msec) 
2022-10-02T19:06:56Z | DIC/FE-DIC+R+CG.ipynb | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737269 | e7e22ad4e8493b43a170bda18f3ffe1c | 276039 | 08665689oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 276031 | 1664655349 | 8fac3c04-b86f-4aff-8960-f73c91815046 | 
#=#=#=# Syncrun finished 2022-10-02T19:01:15Z (last step: 3670 msec , total: 3892 msec) 
#=#=#=# Syncrun started 2022-10-02T19:01:47Z
#=#=#=#=# Propagation starts 2022-10-02T19:01:47Z (last step: 417 msec , total: 417 msec) 
2022-10-02T19:07:35Z | DIC/FE-DIC+R.ipynb | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737305 | f609f1f97d3423d26f8837357343750c | 416093 | 08665691oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 416085 | 1664463151 | db35a79b-6281-4dea-b846-694874637832 | 
#=#=#=# Syncrun finished 2022-10-02T19:01:54Z (last step: 6618 msec , total: 7035 msec) 
#=#=#=# Syncrun started 2022-10-02T19:02:00Z
#=#=#=#=# Propagation starts 2022-10-02T19:02:04Z (last step: 4400 msec , total: 4400 msec) 
#=#=#=# Syncrun finished 2022-10-02T19:02:04Z (last step: 14 msec , total: 4414 msec) 
#=#=#=# Syncrun started 2022-10-02T19:03:10Z
#=#=#=#=# Propagation starts 2022-10-02T19:03:11Z (last step: 307 msec , total: 307 msec) 
2022-10-02T19:08:53Z | modules/fem.py | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737389 | 59e9e0aa989a5bced79cde11b4a52fad | 2957 | 08665697oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 2956 | 1664657805 | 7fb50def-21c0-4bfa-8000-fc8b4dfe23fb | 
#=#=#=# Syncrun finished 2022-10-02T19:03:11Z (last step: 352 msec , total: 660 msec) 
#=#=#=# Syncrun started 2022-10-02T19:03:18Z
#=#=#=#=# Propagation starts 2022-10-02T19:03:19Z (last step: 754 msec , total: 754 msec) 
#=#=#=# Syncrun finished 2022-10-02T19:03:19Z (last step: 18 msec , total: 773 msec) 
#=#=#=# Syncrun started 2022-10-02T19:05:42Z
#=#=#=#=# Propagation starts 2022-10-02T19:05:42Z (last step: 208 msec , total: 208 msec) 
2022-10-02T19:11:28Z | FEMU/FEMU_from_FEM.ipynb | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737540 | fe7f643b59569855753331bfd72e5c01 | 334803 | 08665690oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 334621 | 1664658936 | e6800beb-0238-44b7-a801-20727fff2a45 | 
#=#=#=# Syncrun finished 2022-10-02T19:05:47Z (last step: 4472 msec , total: 4680 msec) 
#=#=#=# Syncrun started 2022-10-02T19:05:51Z
#=#=#=#=# Propagation starts 2022-10-02T19:05:52Z (last step: 606 msec , total: 606 msec) 
2022-10-02T19:11:38Z | FEMU/FEMU_from_FEM.ipynb | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737549 | 0b653b2e75e715dd5a17014e51dff1ae | 334787 | 08665690oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 334803 | 1664737540 | c2b1d59b-bf9d-45e4-b2f6-87d038c635bb | 
#=#=#=# Syncrun finished 2022-10-02T19:05:57Z (last step: 5024 msec , total: 5630 msec) 
#=#=#=# Syncrun started 2022-10-02T19:06:01Z
#=#=#=#=# Propagation starts 2022-10-02T19:06:01Z (last step: 334 msec , total: 334 msec) 
#=#=#=# Syncrun finished 2022-10-02T19:06:01Z (last step: 15 msec , total: 349 msec) 
#=#=#=# Syncrun started 2022-10-02T19:07:31Z
#=#=#=#=# Propagation starts 2022-10-02T19:07:31Z (last step: 310 msec , total: 310 msec) 
2022-10-02T19:13:17Z | FEMU/FEMU_from_FEM.ipynb | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737649 | f47698007a7b31b6b4c8dde8cd62a74f | 333190 | 08665690oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 334787 | 1664737549 | 6d7091ae-cc94-4e82-8dff-d7b52706cb3c | 
#=#=#=# Syncrun finished 2022-10-02T19:07:35Z (last step: 4201 msec , total: 4512 msec) 
#=#=#=# Syncrun started 2022-10-02T19:07:42Z
#=#=#=#=# Propagation starts 2022-10-02T19:07:42Z (last step: 512 msec , total: 512 msec) 
2022-10-02T19:13:28Z | FEMU/FEMU_from_FEM.ipynb | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737660 | 874ba10a1325888c986c2db95ef995da | 333257 | 08665690oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 333190 | 1664737649 | 597d36ba-0072-4276-acb8-0f02d0a0bc74 | 
#=#=#=# Syncrun finished 2022-10-02T19:07:47Z (last step: 4413 msec , total: 4925 msec) 
#=#=#=# Syncrun started 2022-10-02T19:07:58Z
#=#=#=#=# Propagation starts 2022-10-02T19:07:59Z (last step: 934 msec , total: 934 msec) 
#=#=#=# Syncrun finished 2022-10-02T19:07:59Z (last step: 14 msec , total: 948 msec) 
#=#=#=# Syncrun started 2022-10-02T19:09:42Z
#=#=#=#=# Propagation starts 2022-10-02T19:09:42Z (last step: 293 msec , total: 293 msec) 
2022-10-02T19:15:28Z | FEMU/FEMU_from_FEM.ipynb | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737780 | 52f0dc79da01a3f9235ba6663187dd3f | 334341 | 08665690oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 333257 | 1664737660 | 1d53bc04-7b49-4a3f-8da7-05231c02b756 | 
#=#=#=# Syncrun finished 2022-10-02T19:09:47Z (last step: 4724 msec , total: 5018 msec) 
#=#=#=# Syncrun started 2022-10-02T19:09:58Z
#=#=#=#=# Propagation starts 2022-10-02T19:09:58Z (last step: 366 msec , total: 366 msec) 
#=#=#=# Syncrun finished 2022-10-02T19:09:58Z (last step: 16 msec , total: 382 msec) 
#=#=#=# Syncrun started 2022-10-02T19:11:42Z
